Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,HomeStreak,Orig. Scheduled,HomeGame,Index,year
8,202304080,boxscore,MIN,HOU,W,9,6,,6-2,1,up 1.5,Ryan,Martinez,Duran,2:27,D,"26,330",1.09,++,,True,120,2023
9,202304080,boxscore,ARI,LAD,W,12,8,,5-4,1, Tied,Nelson,Syndergaard,,2:43,N,"26,881",1.03,++,,True,121,2023
8,202304080,boxscore,TBR,OAK,W,11,0,,8-0,1,up 3.0,Springs,Fujinami,,2:20,D,"15,880",1.13,++++++++,,True,122,2023
9,202304080,boxscore,COL,WSN,L,6,7,,3-6,5, 2.0,Williams,Gomber,Edwards,2:44,N,"34,503",.88,--,,True,123,2023
8,202304080,boxscore,DET,BOS,L,5,14,,2-6,5, 4.0,Houck,Wentz,,2:38,D,"21,835",.82,---,,True,124,2023
8,202304080,boxscore,SFG,KCR,L,5,6,,3-5,4, 1.5,Clarke,Doval,Chapman,2:23,D,"35,126",.87,--,,True,125,2023
10,202304090,boxscore,CLE,SEA,W-wo,7,6,12,6-4,2, 0.5,Herrin,Murfee,,3:48,D,"12,716",1.02,+,,True,126,2023
9,202304090,boxscore,PHI,CIN,L,4,6,,3-6,4, 2.5,Herget,Domínguez,Gibaut,2:42,D,"39,129",.90,-,,True,127,2023
9,202304090,boxscore,LAA,TOR,L,11,12,10,5-4,1, Tied,Romano,Estévez,Mayza,3:31,D,"31,092",1.06,-,,True,128,2023
10,202304090,boxscore,ARI,LAD,W,11,6,,6-4,1, Tied,Nelson,Grove,,2:45,D,"18,543",1.10,+++,,True,129,2023
10,202304090,boxscore,ATL,SDP,L,2,10,,6-4,1,up 1.0,Lugo,Dodd,,2:50,N,"40,138",1.11,---,,True,130,2023
8,202304090,boxscore,CHC,TEX,L,2,8,,4-4,3, 2.5,Gray,Taillon,,2:31,D,"28,807",.99,-,,True,131,2023
9,202304090,boxscore,MIN,HOU,L,1,5,,6-3,1,up 0.5,Brown,Mahle,,2:33,D,"14,316",1.13,-,,True,132,2023
9,202304090,boxscore,TBR,OAK,W,11,0,,9-0,1,up 3.0,Rasmussen,Kaprielian,,2:39,D,"11,159",1.14,+++++++++,,True,133,2023
10,202304090,boxscore,COL,WSN,W,7,6,,4-6,5, 2.0,Lamet,Ramírez,Johnson,2:47,D,"30,283",.83,+,,True,134,2023
9,202304090,boxscore,MIL,STL,W,6,1,,7-2,1,up 1.0,Peralta,Woodford,,2:49,D,"27,701",1.19,+,,True,135,2023
9,202304090,boxscore,PIT,CHW,W,1,0,,6-3,2, 1.0,Oviedo,Kopech,Bednar,2:21,D,"10,571",1.00,+,,True,136,2023
9,202304090,boxscore,DET,BOS,L,1,4,,2-7,5, 4.0,Crawford,Boyd,Jansen,2:38,D,"14,885",.79,----,,True,137,2023
9,202304090,boxscore,SFG,KCR,W,3,1,,4-5,4, 1.5,Brebbia,Yarbrough,Rogers,2:15,D,"30,207",.84,+,,True,138,2023
9,202304090,boxscore,BAL,NYY,L,3,5,,4-5,5, 5.0,Cortes,Wells,Holmes,2:28,D,"29,221",.96,--,,True,139,2023
10,202304090,boxscore,NYM,MIA,L,2,7,,5-5,2, 1.0,Scott,Carrasco,,2:52,D,"33,697",1.07,-,,True,140,2023
10,202304100,boxscore,LAA,WSN,L,4,6,,5-5,2, 1.0,Corbin,Davidson,Finnegan,2:40,N,"19,557",.96,--,,True,141,2023
11,202304100,boxscore,NYM,SDP,W,5,0,,6-5,2, 1.0,Scherzer,Darvish,,2:38,N,"30,244",1.02,+,,True,142,2023
9,202304100,boxscore,CHC,SEA,W-wo,3,2,10,5-4,3, 1.5,Thompson,Brash,,2:38,N,"26,766",.89,+,,True,143,2023
10,202304100,boxscore,BAL,OAK,W,5,1,,5-5,4, 5.0,Gibson,Sears,,2:48,N,"9,322",.84,+,,True,144,2023
10,202304100,boxscore,PIT,HOU,L,2,8,,6-4,2, 1.0,Valdez,Contreras,,2:39,N,"10,222",1.03,-,,True,145,2023
10,202304100,boxscore,MIN,CHW,L,3,4,,6-4,2, 0.5,Cease,Maeda,López,2:39,D,"12,078",1.14,--,,True,146,2023
11,202304100,boxscore,COL,STL,W,7,4,,5-6,4, 2.0,Márquez,Matz,,2:14,N,"24,092",.87,++,,True,147,2023
11,202304100,boxscore,ATL,CIN,W-wo,5,4,10,7-4,1,up 1.0,Lee,Law,,2:47,N,"30,237",1.07,+,,True,148,2023
10,202304100,boxscore,PHI,MIA,W,15,3,,4-6,3, 2.5,Strahm,Alcantara,,2:29,N,"28,642",.90,+,,True,149,2023
10,202304100,boxscore,TEX,KCR,W,11,2,,6-4,1,up 1.0,Heaney,Greinke,,2:30,N,"17,430",.99,++,,True,150,2023
10,202304100,boxscore,SFG,LAD,L,1,9,,4-6,5, 2.5,Urías,Webb,,2:31,N,"35,232",.99,-,,True,151,2023
11,202304100,boxscore,ARI,MIL,W,3,0,,7-4,1,up 1.0,Gallen,Miley,Chafin,2:12,N,"12,681",1.07,++++,,True,152,2023
11,202304100,boxscore,CLE,NYY,W,3,2,,7-4,1,up 0.5,Bieber,Hamilton,Clase,2:29,N,"19,278",1.07,++,,True,153,2023
10,202304100,boxscore,TBR,BOS,W,1,0,,10-0,1,up 4.0,Poche,Martin,Fairbanks,2:06,N,"13,470",1.22,++++++++++,,True,154,2023
